Timestamp,PacketID,Event,SourceNode,DestNode,CurrentNode,NextHop,Message
13,0,DELIVERED,-1,-1,3,-1,"Packet 0 delivered at node 3 (path: 0 -> 1 -> 3)"
14,1,DELIVERED,-1,-1,3,-1,"Packet 1 delivered at node 3 (path: 0 -> 1 -> 3)"
15,2,DELIVERED,-1,-1,3,-1,"Packet 2 delivered at node 3 (path: 0 -> 1 -> 3)"
16,3,DELIVERED,-1,-1,3,-1,"Packet 3 delivered at node 3 (path: 0 -> 1 -> 3)"
17,4,DELIVERED,-1,-1,3,-1,"Packet 4 delivered at node 3 (path: 0 -> 1 -> 3)"
18,5,DELIVERED,-1,-1,3,-1,"Packet 5 delivered at node 3 (path: 0 -> 1 -> 3)"
19,6,DELIVERED,-1,-1,3,-1,"Packet 6 delivered at node 3 (path: 0 -> 1 -> 3)"
20,7,DELIVERED,-1,-1,3,-1,"Packet 7 delivered at node 3 (path: 0 -> 1 -> 3)"
21,8,DELIVERED,-1,-1,3,-1,"Packet 8 delivered at node 3 (path: 0 -> 1 -> 3)"
22,9,DELIVERED,-1,-1,3,-1,"Packet 9 delivered at node 3 (path: 0 -> 1 -> 3)"
23,10,DELIVERED,-1,-1,3,-1,"Packet 10 delivered at node 3 (path: 0 -> 1 -> 3)"
24,11,DELIVERED,-1,-1,3,-1,"Packet 11 delivered at node 3 (path: 0 -> 1 -> 3)"
25,12,DELIVERED,-1,-1,3,-1,"Packet 12 delivered at node 3 (path: 0 -> 1 -> 3)"
26,13,DELIVERED,-1,-1,3,-1,"Packet 13 delivered at node 3 (path: 0 -> 1 -> 3)"
27,14,DELIVERED,-1,-1,3,-1,"Packet 14 delivered at node 3 (path: 0 -> 1 -> 3)"
28,15,DELIVERED,-1,-1,3,-1,"Packet 15 delivered at node 3 (path: 0 -> 1 -> 3)"
29,16,DELIVERED,-1,-1,3,-1,"Packet 16 delivered at node 3 (path: 0 -> 1 -> 3)"
30,17,DELIVERED,-1,-1,3,-1,"Packet 17 delivered at node 3 (path: 0 -> 1 -> 3)"
31,18,DELIVERED,-1,-1,3,-1,"Packet 18 delivered at node 3 (path: 0 -> 1 -> 3)"
32,19,DELIVERED,-1,-1,3,-1,"Packet 19 delivered at node 3 (path: 0 -> 1 -> 3)"
33,20,DELIVERED,-1,-1,3,-1,"Packet 20 delivered at node 3 (path: 0 -> 1 -> 3)"
34,21,DELIVERED,-1,-1,3,-1,"Packet 21 delivered at node 3 (path: 0 -> 1 -> 3)"
35,22,DELIVERED,-1,-1,3,-1,"Packet 22 delivered at node 3 (path: 0 -> 1 -> 3)"
36,23,DELIVERED,-1,-1,3,-1,"Packet 23 delivered at node 3 (path: 0 -> 1 -> 3)"
37,24,DELIVERED,-1,-1,3,-1,"Packet 24 delivered at node 3 (path: 0 -> 1 -> 3)"
38,25,DELIVERED,-1,-1,3,-1,"Packet 25 delivered at node 3 (path: 0 -> 1 -> 3)"
39,26,DELIVERED,-1,-1,3,-1,"Packet 26 delivered at node 3 (path: 0 -> 1 -> 3)"
40,27,DELIVERED,-1,-1,3,-1,"Packet 27 delivered at node 3 (path: 0 -> 1 -> 3)"
41,28,DELIVERED,-1,-1,3,-1,"Packet 28 delivered at node 3 (path: 0 -> 1 -> 3)"
42,29,DELIVERED,-1,-1,3,-1,"Packet 29 delivered at node 3 (path: 0 -> 1 -> 3)"
43,30,DELIVERED,-1,-1,3,-1,"Packet 30 delivered at node 3 (path: 0 -> 1 -> 3)"
44,31,DELIVERED,-1,-1,3,-1,"Packet 31 delivered at node 3 (path: 0 -> 1 -> 3)"
